"termo";"idioma";"num"
"input$text";"input$lang";1
"banana";"pt";100
"lula";"pt";100
"teste";"pt";100
"bbb";"pt";100
"globo";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"banana";"pt";100
"banana";"pt";100
"textmining";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"banana";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"banana";"pt";100
"textmining";"pt";100
"textmining";"pt";100
"banana";"pt";100
"textmining";"pt";100
"textmining";"en";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"bbb";"pt";100
"rstudio";"pt";100
